group_order,small_group_id,group_structure,class_i,class_j,class_size,union_size,linear_nullity,unordered_sign_solutions,nontrivial_partitions,isomorphic_partitions,new_twists,isomorphism_flags
192,628,"C3 : ((C2 x C2) . (C2 x D8) = (C4 x C2) . (C2 x C2 x C2))",13,24,4,8,1,1,0,0,0,""
192,628,"C3 : ((C2 x C2) . (C2 x D8) = (C4 x C2) . (C2 x C2 x C2))",20,28,12,24,1,1,0,0,0,""
192,628,"C3 : ((C2 x C2) . (C2 x D8) = (C4 x C2) . (C2 x C2 x C2))",23,30,4,8,1,1,0,0,0,""
192,630,"C3 : (((C8 x C2) : C2) : C2)",2,11,12,24,1,1,0,0,0,""
192,630,"C3 : (((C8 x C2) : C2) : C2)",9,22,12,24,1,1,0,0,0,""
192,630,"C3 : (((C8 x C2) : C2) : C2)",14,25,4,8,1,1,0,0,0,""
192,630,"C3 : (((C8 x C2) : C2) : C2)",24,30,4,8,1,1,0,0,0,""
192,631,"C3 : ((C2 x D16) : C2)",2,11,12,24,1,1,0,0,0,""
192,631,"C3 : ((C2 x D16) : C2)",9,23,12,24,1,1,0,0,0,""
192,631,"C3 : ((C2 x D16) : C2)",26,33,4,8,1,1,0,0,0,""
192,633,"C3 : ((C2 x D16) : C2)",10,21,12,24,1,1,0,0,0,""
192,633,"C3 : ((C2 x D16) : C2)",13,24,4,8,1,1,0,0,0,""
192,633,"C3 : ((C2 x D16) : C2)",20,28,12,24,1,1,0,0,0,""
192,633,"C3 : ((C2 x D16) : C2)",23,30,4,8,1,1,0,0,0,""
192,634,"C3 : ((C2 x QD16) : C2)",2,11,12,24,1,1,0,0,0,""
192,634,"C3 : ((C2 x QD16) : C2)",9,23,12,24,1,1,0,0,0,""
192,634,"C3 : ((C2 x QD16) : C2)",26,33,4,8,1,1,0,0,0,""
192,636,"C3 : ((C8 : (C2 x C2)) : C2)",2,11,12,24,1,1,0,0,0,""
192,636,"C3 : ((C8 : (C2 x C2)) : C2)",9,21,12,24,1,1,0,0,0,""
192,640,"C3 : (C8 : Q8)",2,11,12,24,1,1,0,0,0,""
192,640,"C3 : (C8 : Q8)",9,22,12,24,1,1,0,0,0,""
192,640,"C3 : (C8 : Q8)",14,25,4,8,1,1,0,0,0,""
192,640,"C3 : (C8 : Q8)",24,30,4,8,1,1,0,0,0,""
192,641,"C3 : ((C2 x C2) . (C2 x D8) = (C4 x C2) . (C2 x C2 x C2))",2,11,12,24,1,1,0,0,0,""
192,641,"C3 : ((C2 x C2) . (C2 x D8) = (C4 x C2) . (C2 x C2 x C2))",9,22,12,24,1,1,0,0,0,""
192,641,"C3 : ((C2 x C2) . (C2 x D8) = (C4 x C2) . (C2 x C2 x C2))",14,25,4,8,1,1,0,0,0,""
192,641,"C3 : ((C2 x C2) . (C2 x D8) = (C4 x C2) . (C2 x C2 x C2))",24,30,4,8,1,1,0,0,0,""
192,642,"C3 : ((C4 : Q8) : C2)",2,11,12,24,1,1,0,0,0,""
192,642,"C3 : ((C4 : Q8) : C2)",9,23,12,24,1,1,0,0,0,""
192,642,"C3 : ((C4 : Q8) : C2)",26,33,4,8,1,1,0,0,0,""
192,643,"C3 : ((C4 : Q8) : C2)",2,11,12,24,1,1,0,0,0,""
192,643,"C3 : ((C4 : Q8) : C2)",9,23,12,24,1,1,0,0,0,""
